Source,Target,Type,Weight,videos
UCNfWKKKpMrEcFf4q5xsp8BA,UCx6-QwsBu7-p2khs-4jEs1A,Undirected,1,1
UCNfWKKKpMrEcFf4q5xsp8BA,UCyvHPV3h__QRHP9R83jDpkw,Undirected,1,1
UC_nib780bt_8Yr9ky518paQ,UCx6-QwsBu7-p2khs-4jEs1A,Undirected,12,12
UC_nib780bt_8Yr9ky518paQ,UCyvHPV3h__QRHP9R83jDpkw,Undirected,10,10
UCx6-QwsBu7-p2khs-4jEs1A,UCyvHPV3h__QRHP9R83jDpkw,Undirected,14,14
UC4q6PdaNRJ9MUkLGsZiA0lg,UCmmtuG__feWMZHqZ_09ic7Q,Undirected,1,1
UCQLbBGwy7SH8kSJWd6WY7gA,UCujsy_SgLSXAyroQaEbMhVg,Undirected,1,1
UCCM86OfEq32RoGhxrqb8j0g,UCE0fOC8_7jt-tKHxvZ4zQig,Undirected,1,1
UCCM86OfEq32RoGhxrqb8j0g,UCIsZbNEVc5zCy3afQAVAmdw,Undirected,1,1
UCCM86OfEq32RoGhxrqb8j0g,UCsuZ5akLQbr4vUi7uSy9rrA,Undirected,1,1
UCE0fOC8_7jt-tKHxvZ4zQig,UCIsZbNEVc5zCy3afQAVAmdw,Undirected,1,1
