Id,Label,url,Main Topic,Total Views,Total Videos,Subscribers
UCGIQxn4fW80bIvFL1neNQEg,Lil' Chief Records,https://www.youtube.com/channel/UCGIQxn4fW80bIvFL1neNQEg,Pop music,232195894,171,398000
UCd5jIyY4vLgFFsfCsyaL3Bw,Jonathan Bree,https://www.youtube.com/channel/UCd5jIyY4vLgFFsfCsyaL3Bw,Independent music,7214326,4,41900
UCxOvN5_bOyr0sBkGVLwh-xw,Princess Chelsea,https://www.youtube.com/channel/UCxOvN5_bOyr0sBkGVLwh-xw,Independent music,25669399,13,95100
UC07Kxew-cMIaykMOkzqHtBQ,LadyGagaVEVO,https://www.youtube.com/channel/UC07Kxew-cMIaykMOkzqHtBQ,Soul music,18887422917,243,8880000
UCNL1ZadSjHpjm4q9j2sVtOA,Lady Gaga,https://www.youtube.com/channel/UCNL1ZadSjHpjm4q9j2sVtOA,Entertainment,24938815263,262,30600000
UCPaJMRVqhoPwsBqhfOzf1bQ,Rachael Yamagata - Topic,https://www.youtube.com/channel/UCPaJMRVqhoPwsBqhfOzf1bQ,Independent music,47117510,263,1320
UCWyS_FZNNDqKNLB7NBHEadw,Rachael Yamagata,https://www.youtube.com/channel/UCWyS_FZNNDqKNLB7NBHEadw,Independent music,51223154,208,63000
UCTY6fxtqkF_dtGanIhZHHVg,Calum Scott,https://www.youtube.com/channel/UCTY6fxtqkF_dtGanIhZHHVg,Christian music,3866056735,371,7000000
UCwUtwxkX0IDk9_OYaBcmRnQ,CalumScottVEVO,https://www.youtube.com/channel/UCwUtwxkX0IDk9_OYaBcmRnQ,Electronic music,3174385494,98,1190000
UCFNosi99Sp0_eLilBiXmmXA,FutureVEVO,https://www.youtube.com/channel/UCFNosi99Sp0_eLilBiXmmXA,Electronic music,9839484494,413,4330000
UCSDvKdIQOwTfcyOimSi9oYA,Future,https://www.youtube.com/channel/UCSDvKdIQOwTfcyOimSi9oYA,Pop music,14618286493,79,14900000
UCgJG-YH8b_I4nc3oiHssdVA,GHerboVEVO,https://www.youtube.com/channel/UCgJG-YH8b_I4nc3oiHssdVA,Pop music,216461528,83,11100
UC35HKvKYPkri4Grd5KXl3wQ,Lilifilm Official,https://www.youtube.com/channel/UC35HKvKYPkri4Grd5KXl3wQ,Music,638806696,26,11600000
UCiHOsCL-qUxoKZpNZVM1kNQ,Angie K,https://www.youtube.com/channel/UCiHOsCL-qUxoKZpNZVM1kNQ,Country music,9009591,798,48600
UCAWNXeeLSwC1FaoYEV__u0A,Jai’Len Josey,https://www.youtube.com/channel/UCAWNXeeLSwC1FaoYEV__u0A,Pop music,2723980,87,17900
UCh1ZFNI53O_CQZ_5NNWbbbw,Xavier Omär,https://www.youtube.com/channel/UCh1ZFNI53O_CQZ_5NNWbbbw,Rhythm and blues,45995682,98,88200
UCdzxj65vwZieF3BI-tvQ9KQ,Mary Sarah,https://www.youtube.com/channel/UCdzxj65vwZieF3BI-tvQ9KQ,Lifestyle (sociology),2064447,362,11300
UCYJZgZnRR_SjmdfaZEzIlgQ,kwn,https://www.youtube.com/channel/UCYJZgZnRR_SjmdfaZEzIlgQ,Rhythm and blues,127431932,56,271000
UCIUKjjLfyf19Mr6Q_27GXlw,YGVEVO,https://www.youtube.com/channel/UCIUKjjLfyf19Mr6Q_27GXlw,Pop music,2057255413,131,2060000
UCugoOHsHbbuPL9421CjxSEA,RugerVEVO,https://www.youtube.com/channel/UCugoOHsHbbuPL9421CjxSEA,Reggae,797066346,50,20000
UCm55ke1xuIvjtX5wXkENpFA,PatorankingVEVO,https://www.youtube.com/channel/UCm55ke1xuIvjtX5wXkENpFA,Pop music,562455800,72,337000
UCJrREGJ2R1mMuKJkZ8SMCcA,BeckyGVEVO,https://www.youtube.com/channel/UCJrREGJ2R1mMuKJkZ8SMCcA,Music of Latin America,12199541765,208,6170000
UCYYpf5Sz7ftJUCW4YPY2ZsQ,not johny²,https://www.youtube.com/channel/UCYYpf5Sz7ftJUCW4YPY2ZsQ,Film,13681,73,25
UCqING2zcYYkHMdTUj9Po5mg,ab1,https://www.youtube.com/channel/UCqING2zcYYkHMdTUj9Po5mg,Video game culture,23588,53,75
UC0GLNhtTu7yI8rl6ZZGeezw,TheOdd2sOut,https://www.youtube.com/channel/UC0GLNhtTu7yI8rl6ZZGeezw,Lifestyle (sociology),139811606,33,2520000
UC28dly7fFiPlISI-0AE-fbw,KRUGSTON,https://www.youtube.com/channel/UC28dly7fFiPlISI-0AE-fbw,Film,57808334,136,458000
UCzIKEtTkedCG0HYwlof6fMw,Echoes,https://www.youtube.com/channel/UCzIKEtTkedCG0HYwlof6fMw,Fashion,8767,3,47000
UC9cz0t8P3VkTHY7xjbS8zHA,miwa official YouTube channel,https://www.youtube.com/channel/UC9cz0t8P3VkTHY7xjbS8zHA,Music of Asia,217452278,219,240000
UCtXKddsQv6rrJ7tUUpZz-og,SO-SO,https://www.youtube.com/channel/UCtXKddsQv6rrJ7tUUpZz-og,Hip hop music,31749885,212,286000
